full_date,date_key,year,quarter,month_number,month_name,week_of_year,day_name,is_weekend,is_payday,month_start
2013-07-19,20130719,2013,Q3,7,July,29,Friday,0,0,2013-07-01
2013-07-20,20130720,2013,Q3,7,July,29,Saturday,1,0,2013-07-01
2013-07-21,20130721,2013,Q3,7,July,29,Sunday,1,0,2013-07-01
2013-07-22,20130722,2013,Q3,7,July,30,Monday,0,0,2013-07-01
2013-07-23,20130723,2013,Q3,7,July,30,Tuesday,0,0,2013-07-01
2013-07-24,20130724,2013,Q3,7,July,30,Wednesday,0,0,2013-07-01
2013-07-25,20130725,2013,Q3,7,July,30,Thursday,0,0,2013-07-01
2013-07-26,20130726,2013,Q3,7,July,30,Friday,0,0,2013-07-01
2013-07-27,20130727,2013,Q3,7,July,30,Saturday,1,0,2013-07-01
2013-07-28,20130728,2013,Q3,7,July,30,Sunday,1,0,2013-07-01
2013-07-29,20130729,2013,Q3,7,July,31,Monday,0,0,2013-07-01
2013-07-30,20130730,2013,Q3,7,July,31,Tuesday,0,0,2013-07-01
2013-07-31,20130731,2013,Q3,7,July,31,Wednesday,0,1,2013-07-01
2013-08-01,20130801,2013,Q3,8,August,31,Thursday,0,0,2013-08-01
2013-08-02,20130802,2013,Q3,8,August,31,Friday,0,0,2013-08-01
2013-08-03,20130803,2013,Q3,8,August,31,Saturday,1,0,2013-08-01
2013-08-04,20130804,2013,Q3,8,August,31,Sunday,1,0,2013-08-01
2013-08-05,20130805,2013,Q3,8,August,32,Monday,0,0,2013-08-01
2013-08-06,20130806,2013,Q3,8,August,32,Tuesday,0,0,2013-08-01
2013-08-07,20130807,2013,Q3,8,August,32,Wednesday,0,0,2013-08-01
2013-08-08,20130808,2013,Q3,8,August,32,Thursday,0,0,2013-08-01
2013-08-09,20130809,2013,Q3,8,August,32,Friday,0,0,2013-08-01
2013-08-10,20130810,2013,Q3,8,August,32,Saturday,1,0,2013-08-01
2013-08-11,20130811,2013,Q3,8,August,32,Sunday,1,0,2013-08-01
2013-08-12,20130812,2013,Q3,8,August,33,Monday,0,0,2013-08-01
2013-08-13,20130813,2013,Q3,8,August,33,Tuesday,0,0,2013-08-01
